id;id_station;level_competence;last_assesement;id_operateur
393;16;2;05/02/2023;517
394;16;2;05/02/2023;517
395;7;2;19/04/2023;515
396;7;2;19/04/2023;515
397;17;3;16/03/2022;515
398;7;2;19/04/2023;514
399;7;2;19/04/2023;514
400;6;2;19/04/2023;514
401;6;2;19/04/2023;514
402;15;3;27/06/2022;512
403;15;3;27/06/2022;512
404;15;3;27/06/2022;512
405;16;2;08/02/2022;512
406;16;1;20/10/2022;512
407;16;1;20/10/2022;512
408;16;1;20/10/2022;512
409;16;1;20/10/2022;512
410;21;3;27/06/2022;511
411;21;3;27/06/2022;511
412;21;3;27/06/2022;511
413;21;3;27/06/2022;511
414;21;3;27/06/2022;511
415;21;3;27/06/2022;511
416;7;4;19/04/2023;510
417;7;4;19/04/2023;510
418;7;4;19/04/2023;510
419;7;3;27/06/2022;510
420;7;3;27/06/2022;510
421;6;2;27/06/2022;510
422;6;2;27/06/2022;510
423;6;2;27/06/2022;510
424;6;2;27/06/2022;510
425;21;2;06/03/2023;510
426;21;2;06/03/2023;510
427;21;2;06/03/2023;510
428;21;2;06/03/2023;510
429;21;2;06/03/2023;510
430;21;2;06/03/2023;510
431;19;2;06/03/2023;510
432;19;2;06/03/2023;510
433;19;2;06/03/2023;510
434;19;2;06/03/2023;510
435;16;4;09/03/2022;510
436;17;2;06/03/2023;510
437;17;2;06/03/2023;510
438;17;2;06/03/2023;510
439;17;2;06/03/2023;510
440;7;2;19/09/2022;509
441;7;2;19/09/2022;509
442;7;2;19/09/2022;509
443;7;2;19/09/2022;509
444;7;2;19/09/2022;509
445;6;2;19/09/2022;509
446;6;2;19/09/2022;509
447;6;2;19/09/2022;509
448;6;2;19/09/2022;509
449;13;2;18/01/2023;505
450;12;2;18/01/2023;505
451;19;3;31/01/2023;505
452;19;2;31/01/2023;505
453;19;2;31/01/2023;505
454;19;2;31/01/2023;505
455;12;3;14/09/2022;504
456;17;3;10/03/2023;503
457;17;3;10/03/2023;503
458;17;3;10/03/2023;503
459;17;1;16/02/2023;503
460;17;3;10/03/2023;503
461;17;3;10/03/2023;503
462;28;3;12/08/2022;500
463;28;3;12/08/2022;500
464;27;2;07/07/2022;499
465;27;2;07/07/2022;499
466;25;3;07/07/2022;497
467;16;2;07/07/2022;495
468;19;2;07/07/2022;489
469;12;2;21/01/2022;486
470;26;2;13/06/2022;485
471;26;2;13/06/2022;485
472;26;2;13/06/2022;485
473;23;4;10/08/2021;480
474;25;4;10/08/2021;480
475;25;4;10/08/2021;480
476;26;2;02/02/2023;477
477;26;2;02/02/2023;477
478;26;2;02/02/2023;477
479;26;2;02/02/2023;477
480;26;2;02/02/2023;477
481;28;2;02/02/2023;477
482;28;2;02/02/2023;477
483;13;2;14/09/2022;469
484;3;1;21/09/2021;467
485;3;1;21/09/2021;467
486;5;1;21/09/2021;467
487;27;3;12/08/2022;462
488;27;3;12/08/2022;462
489;27;3;12/08/2022;462
490;27;3;12/08/2022;462
491;26;3;10/08/2021;457
492;26;3;10/08/2021;457
493;27;2;06/08/2022;457
494;27;2;06/08/2022;457
495;27;2;06/08/2022;457
496;27;2;06/08/2022;457
497;27;2;06/08/2022;457
498;16;3;05/03/2022;454
499;16;3;05/03/2022;454
500;16;3;05/03/2022;454
501;16;3;05/03/2022;454
502;16;3;05/03/2022;454
503;10;2;16/09/2022;453
504;13;2;16/09/2022;453
505;12;2;16/09/2022;453
506;9;2;16/09/2022;453
507;8;2;16/09/2022;453
508;11;2;16/09/2022;453
509;13;2;16/09/2022;449
510;14;1;08/02/2022;447
511;14;3;08/02/2022;447
512;32;3;05/03/2022;442
513;32;3;05/03/2022;442
514;25;1;05/03/2022;442
515;27;3;05/03/2022;442
516;27;3;05/03/2022;442
517;27;3;14/06/2022;442
518;28;2;13/06/2022;441
519;28;2;13/06/2022;441
520;16;3;07/06/2022;440
521;16;2;07/06/2022;440
522;23;3;12/01/2022;432
523;27;3;12/01/2022;432
524;3;2;17/09/2022;427
525;3;2;17/09/2022;427
526;4;3;21/09/2021;427
527;4;3;21/09/2021;427
528;5;2;21/09/2021;427
529;5;4;21/09/2021;427
530;2;1;21/09/2021;427
531;13;2;18/01/2023;420
532;23;2;13/06/2022;416
533;1;2;21/09/2021;410
534;1;3;21/09/2021;410
535;1;3;21/09/2021;410
536;5;4;11/01/2022;410
537;2;2;16/09/2022;410
538;24;1;10/09/2022;409
539;24;1;10/09/2022;409
540;24;1;10/09/2022;409
541;24;1;10/09/2022;409
542;16;3;10/06/2022;407
543;16;3;10/06/2022;407
544;15;2;02/08/2022;405
545;15;2;02/08/2022;405
546;15;2;02/08/2022;405
547;15;2;02/08/2022;405
548;14;2;27/07/2022;405
549;14;2;27/07/2022;405
550;13;3;14/09/2022;402
551;12;3;14/09/2022;402
552;11;3;14/09/2022;402
553;25;1;10/08/2022;400
554;10;2;16/09/2022;399
555;13;2;16/09/2022;399
556;12;2;16/09/2022;399
557;9;2;16/09/2022;399
558;8;2;16/09/2022;399
559;16;3;10/06/2022;394
560;16;3;10/06/2022;394
561;10;2;16/09/2022;393
562;13;2;16/09/2022;393
563;12;2;16/09/2022;393
564;9;2;16/09/2022;393
565;8;2;20/09/2021;393
566;13;2;16/09/2022;382
567;12;2;16/09/2022;382
568;9;2;16/09/2022;382
569;11;2;16/09/2022;382
570;32;3;10/08/2021;379
571;32;3;10/08/2021;379
572;32;3;05/02/2022;379
573;28;3;10/08/2021;379
574;27;3;13/09/2022;379
575;27;3;13/09/2022;379
576;27;3;13/09/2022;379
577;27;3;13/09/2022;379
578;27;3;13/09/2022;379
579;16;1;08/02/2022;377
580;16;1;08/02/2022;377
581;16;1;08/02/2022;377
582;16;1;08/02/2022;377
583;16;1;08/02/2022;377
584;13;3;14/09/2022;375
585;25;2;09/01/2023;375
586;25;2;09/01/2023;375
587;25;2;09/01/2023;375
588;25;2;09/01/2023;375
589;27;3;12/01/2022;375
590;20;3;20/10/2022;373
591;20;2;27/06/2022;373
592;28;1;09/06/2022;372
593;13;2;16/09/2022;359
594;14;3;08/06/2022;346
595;14;2;08/06/2022;346
596;23;2;12/04/2022;343
597;25;2;12/01/2022;343
598;25;3;12/01/2022;343
