Overview - SIM3 KPI;;;;;;
;;;;;;
Category;KPI;Alias;UoM;Day;Value;Target
Efficiency;3 / KE S2;  ;%;09 May 2023;57,00;63,00
Efficiency;3 / KE S2;  ;%;10 May 2023;60,00;63,00
Efficiency;3 / KE S2;  ;%;11 May 2023;63,00;63,00
Efficiency;3 / KE S2;  ;%;12 May 2023;64,00;63,00
Efficiency;3 / KE S2;  ;%;13 May 2023; ; 
Efficiency;3 / KE S2;  ;%;14 May 2023;64,00;63,00
Efficiency;3 / KE S2;  ;%;15 May 2023;62,00;63,00
Efficiency;3 / KE S2;  ;%;16 May 2023;57,00;63,00
Efficiency;3 / KE S2;  ;%;17 May 2023;57,00;63,00
Efficiency;3 / KE S2;  ;%;18 May 2023; ; 
Efficiency;3 / KE S2;  ;%;19 May 2023; ; 
Efficiency;3 / KE S2;  ;%;20 May 2023; ; 
Efficiency;3 / KE S2;  ;%;21 May 2023;57,00;63,00
Efficiency;3 / KE S2;  ;%;22 May 2023;52,00;63,00
Efficiency;3 / KE S2;  ;%;23 May 2023;57,00;63,00
Efficiency;3 / KE S2;  ;%;24 May 2023;64,00;63,00
Efficiency;3 / KE S2;  ;%;25 May 2023;62,00;63,00
Efficiency;3 / KE S2;  ;%;26 May 2023;53,00;63,00
Efficiency;3 / KE S2;  ;%;27 May 2023; ; 
Efficiency;3 / KE S2;  ;%;28 May 2023; ; 
Efficiency;3 / KE S2;  ;%;29 May 2023;53,00;63,00
Efficiency;3 / KE S2;  ;%;30 May 2023;62,00;63,00
Efficiency;3 / KE S2;  ;%;31 May 2023;59,00;63,00
Efficiency;3 / KE S2;  ;%;01 Jun 2023;58,00;63,00
Efficiency;3 / KE S2;  ;%;02 Jun 2023;60,00;63,00
Efficiency;3 / KE S2;  ;%;03 Jun 2023; ; 
Efficiency;3 / KE S2;  ;%;04 Jun 2023;60,00;63,00
Efficiency;3 / KE S2;  ;%;05 Jun 2023;62,00;63,00
Efficiency;3 / KE S2;  ;%;06 Jun 2023;46,00;63,00
Efficiency;3 / KE S2;  ;%;07 Jun 2023;59,10;63,00
Efficiency;3 / KE S2;  ;%;08 Jun 2023; ; 
