Category;KPI;Alias;UoM;Day;Value;Target
Service Level;QTE RM6 S2;  ;Number;20 Apr 2023;92,00;90,00
Service Level;QTE RM6 S2;  ;Number;21 Apr 2023;78,00;90,00
Service Level;QTE RM6 S2;  ;Number;22 Apr 2023; ; 
Service Level;QTE RM6 S2;  ;Number;23 Apr 2023; ; 
Service Level;QTE RM6 S2;  ;Number;24 Apr 2023;77,00;100,00
Service Level;QTE RM6 S2;  ;Number;25 Apr 2023;100,00;100,00
Service Level;QTE RM6 S2;  ;Number;26 Apr 2023;70,00;100,00
Service Level;QTE RM6 S2;  ;Number;27 Apr 2023;81,00;100,00
Service Level;QTE RM6 S2;  ;Number;28 Apr 2023; ; 
Service Level;QTE RM6 S2;  ;Number;29 Apr 2023; ; 
Service Level;QTE RM6 S2;  ;Number;30 Apr 2023; ; 
Service Level;QTE RM6 S2;  ;Number;01 May 2023;73,00;100,00
Service Level;QTE RM6 S2;  ;Number;02 May 2023;91,00;100,00
Service Level;QTE RM6 S2;  ;Number;03 May 2023;92,00;100,00
Service Level;QTE RM6 S2;  ;Number;04 May 2023;88,00;100,00
Service Level;QTE RM6 S2;  ;Number;05 May 2023;86,00;100,00
Service Level;QTE RM6 S2;  ;Number;06 May 2023; ; 
Service Level;QTE RM6 S2;  ;Number;07 May 2023; ; 
Service Level;QTE RM6 S2;  ;Number;08 May 2023; ; 
Service Level;QTE RM6 S2;  ;Number;09 May 2023;76,00;100,00
Service Level;QTE RM6 S2;  ;Number;10 May 2023;67,00;100,00
Service Level;QTE RM6 S2;  ;Number;11 May 2023;74,00;100,00
Service Level;QTE RM6 S2;  ;Number;12 May 2023; ; 
Service Level;QTE RM6 S2;  ;Number;13 May 2023; ; 
Service Level;QTE RM6 S2;  ;Number;14 May 2023;80,00;105,00
Service Level;QTE RM6 S2;  ;Number;15 May 2023;92,00;105,00
Service Level;QTE RM6 S2;  ;Number;16 May 2023;92,00;105,00
Service Level;QTE RM6 S2;  ;Number;17 May 2023;74,00;105,00
Service Level;QTE RM6 S2;  ;Number;18 May 2023; ; 
Service Level;QTE RM6 S2;  ;Number;19 May 2023; ; 
Service Level;QTE RM6 S2;  ;Number;20 May 2023; ; 
Service Level;QTE RM6 S2;  ;Number;21 May 2023; ; 
Service Level;QTE RM6 S2;  ;Number;22 May 2023;77,00;105,00
Service Level;QTE RM6 S2;  ;Number;23 May 2023;93,00;105,00
